freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.475e+02,7.861e+00,5.649e+00,1.610e+02
1.5,9.947e+01,1.692e+01,1.446e+01,1.309e+02
3.0,3.080e+01,1.953e+01,1.363e+01,6.395e+01
4.5,2.893e+02,1.981e+01,1.323e+01,3.224e+02
6.0,1.041e+03,2.023e+01,1.601e+01,1.077e+03
7.5,1.553e+03,1.984e+01,1.468e+01,1.588e+03
9.0,2.174e+03,1.889e+01,1.325e+01,2.206e+03
10.5,2.968e+03,1.740e+01,1.453e+01,3.000e+03
12.1,3.763e+03,1.728e+01,1.520e+01,3.795e+03
13.6,4.680e+03,1.869e+01,1.564e+01,4.714e+03
15.1,5.918e+03,1.998e+01,1.409e+01,5.952e+03
16.6,7.741e+03,2.245e+01,1.414e+01,7.778e+03
18.1,1.069e+04,2.460e+01,1.710e+01,1.073e+04
19.6,1.338e+04,2.742e+01,1.946e+01,1.343e+04
21.1,1.523e+04,3.990e+01,1.800e+01,1.529e+04
22.6,1.668e+04,4.952e+01,1.585e+01,1.674e+04
24.1,1.822e+04,5.550e+01,1.622e+01,1.830e+04
25.6,1.860e+04,7.142e+01,1.787e+01,1.869e+04
27.1,1.709e+04,9.122e+01,1.634e+01,1.720e+04
28.6,1.739e+04,1.253e+02,1.671e+01,1.754e+04
30.1,2.171e+04,2.233e+02,1.870e+01,2.195e+04
31.6,2.688e+04,4.534e+02,2.093e+01,2.736e+04
33.1,3.049e+04,8.673e+02,3.113e+01,3.139e+04
34.7,3.521e+04,1.585e+03,5.154e+01,3.684e+04
36.2,4.246e+04,2.829e+03,1.147e+02,4.541e+04
37.7,4.816e+04,5.745e+03,2.619e+02,5.417e+04
39.2,5.278e+04,1.090e+04,4.789e+02,6.416e+04
40.7,6.637e+04,1.228e+04,6.120e+02,7.926e+04
42.2,8.814e+04,7.876e+03,5.221e+02,9.654e+04
43.7,1.087e+05,5.864e+03,5.512e+02,1.151e+05
45.2,1.321e+05,4.704e+03,6.788e+02,1.375e+05
46.7,1.698e+05,4.257e+03,1.349e+03,1.754e+05
48.2,1.998e+05,3.793e+03,2.033e+03,2.056e+05
49.7,1.791e+05,3.403e+03,1.798e+03,1.843e+05
51.2,1.884e+05,3.178e+03,1.908e+03,1.935e+05
52.7,2.628e+05,2.977e+03,3.427e+03,2.692e+05
54.2,2.726e+05,2.769e+03,8.004e+03,2.833e+05
55.7,2.127e+05,2.121e+03,1.493e+04,2.298e+05
57.2,1.626e+05,1.338e+03,1.749e+04,1.814e+05
58.8,1.305e+05,1.353e+03,1.284e+04,1.447e+05
60.3,1.135e+05,1.860e+03,9.226e+03,1.246e+05
61.8,1.057e+05,2.476e+03,8.067e+03,1.162e+05
63.3,9.786e+04,3.025e+03,7.197e+03,1.081e+05
64.8,9.008e+04,3.392e+03,6.026e+03,9.949e+04
66.3,8.272e+04,3.938e+03,5.410e+03,9.207e+04
67.8,7.499e+04,4.727e+03,4.641e+03,8.436e+04
69.3,6.569e+04,6.514e+03,3.767e+03,7.597e+04
70.8,6.024e+04,8.931e+03,3.360e+03,7.253e+04
72.3,5.580e+04,9.824e+03,3.595e+03,6.922e+04
73.8,4.665e+04,8.389e+03,3.527e+03,5.857e+04
75.3,3.490e+04,5.611e+03,2.768e+03,4.328e+04
76.8,2.402e+04,3.578e+03,1.923e+03,2.952e+04
78.3,1.549e+04,2.464e+03,1.215e+03,1.917e+04
79.8,9.313e+03,1.774e+03,6.698e+02,1.176e+04
81.4,5.568e+03,1.405e+03,4.730e+02,7.446e+03
82.9,4.482e+03,1.293e+03,5.675e+02,6.342e+03
84.4,3.395e+03,1.127e+03,5.561e+02,5.078e+03
85.9,4.728e+03,1.300e+03,7.608e+02,6.789e+03
87.4,6.692e+03,1.794e+03,1.009e+03,9.495e+03
88.9,1.434e+04,4.019e+03,1.752e+03,2.011e+04
90.4,3.114e+04,8.207e+03,2.289e+03,4.164e+04
91.9,5.063e+04,1.101e+04,2.454e+03,6.410e+04
93.4,6.103e+04,1.134e+04,2.512e+03,7.488e+04
