freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.155e+01,1.180e+03,1.920e+02,1.384e+03
1.6,3.010e+01,6.711e+02,1.357e+02,8.369e+02
3.1,2.947e+01,4.362e+01,3.571e+01,1.088e+02
4.7,3.269e+01,4.029e+02,3.467e+01,4.702e+02
6.3,3.787e+01,1.162e+03,3.519e+01,1.235e+03
7.8,3.267e+01,1.916e+03,2.844e+01,1.977e+03
9.4,3.148e+01,2.897e+03,2.891e+01,2.957e+03
11.0,3.429e+01,4.083e+03,3.522e+01,4.153e+03
12.6,3.603e+01,5.630e+03,4.127e+01,5.707e+03
14.1,3.886e+01,7.671e+03,3.703e+01,7.747e+03
15.7,4.132e+01,1.032e+04,3.889e+01,1.040e+04
17.3,4.310e+01,1.390e+04,6.294e+01,1.400e+04
18.8,4.771e+01,1.898e+04,7.597e+01,1.911e+04
20.4,5.717e+01,2.576e+04,1.056e+02,2.592e+04
22.0,7.004e+01,3.487e+04,1.717e+02,3.511e+04
23.5,7.829e+01,4.900e+04,2.681e+02,4.935e+04
25.1,7.459e+01,6.776e+04,4.726e+02,6.831e+04
26.7,5.888e+01,8.723e+04,7.990e+02,8.809e+04
28.2,1.109e+02,1.219e+05,1.332e+03,1.233e+05
29.8,1.977e+02,1.809e+05,2.288e+03,1.834e+05
31.4,2.847e+02,2.854e+05,4.484e+03,2.902e+05
32.9,4.093e+02,4.853e+05,1.006e+04,4.958e+05
34.5,5.654e+02,9.463e+05,2.673e+04,9.736e+05
36.1,9.181e+02,2.158e+06,7.757e+04,2.236e+06
37.7,1.274e+03,3.374e+06,1.498e+05,3.525e+06
39.2,1.210e+03,3.229e+06,1.821e+05,3.413e+06
40.8,7.955e+02,2.307e+06,1.689e+05,2.477e+06
42.4,5.115e+02,1.523e+06,1.467e+05,1.670e+06
43.9,3.460e+02,1.041e+06,1.378e+05,1.179e+06
45.5,2.801e+02,8.076e+05,1.551e+05,9.630e+05
47.1,2.232e+02,6.544e+05,1.825e+05,8.371e+05
48.6,1.142e+02,4.928e+05,2.014e+05,6.943e+05
50.2,9.476e+01,3.720e+05,2.343e+05,6.063e+05
51.8,1.139e+02,3.100e+05,3.306e+05,6.406e+05
53.3,2.228e+02,2.792e+05,5.725e+05,8.519e+05
54.9,9.420e+02,2.578e+05,8.976e+05,1.156e+06
56.5,1.787e+03,2.187e+05,8.210e+05,1.042e+06
58.1,1.990e+03,1.827e+05,5.270e+05,7.117e+05
