freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.219e+01,2.601e+02,6.010e+01,3.324e+02
1.6,3.264e+01,1.561e+02,4.601e+01,2.347e+02
3.1,3.159e+01,3.330e+01,1.729e+01,8.217e+01
4.7,3.721e+01,3.631e+02,1.827e+01,4.186e+02
6.3,3.899e+01,1.063e+03,1.703e+01,1.119e+03
7.8,3.509e+01,1.802e+03,1.779e+01,1.855e+03
9.4,3.431e+01,2.724e+03,1.847e+01,2.776e+03
11.0,3.679e+01,3.970e+03,1.984e+01,4.026e+03
12.6,3.304e+01,5.875e+03,2.106e+01,5.929e+03
14.1,3.893e+01,8.086e+03,2.321e+01,8.148e+03
15.7,4.130e+01,1.058e+04,2.931e+01,1.065e+04
17.3,3.943e+01,1.386e+04,3.876e+01,1.394e+04
18.8,4.598e+01,1.896e+04,5.459e+01,1.906e+04
20.4,5.294e+01,2.457e+04,8.462e+01,2.471e+04
22.0,6.816e+01,3.022e+04,1.325e+02,3.042e+04
23.5,8.699e+01,3.818e+04,1.935e+02,3.846e+04
25.1,1.153e+02,4.535e+04,2.723e+02,4.573e+04
26.7,1.562e+02,5.152e+04,3.160e+02,5.200e+04
28.3,1.838e+02,5.963e+04,3.969e+02,6.021e+04
29.8,4.273e+02,5.718e+04,6.309e+02,5.824e+04
31.4,8.544e+02,5.483e+04,1.192e+03,5.687e+04
33.0,1.293e+03,6.503e+04,2.190e+03,6.852e+04
34.5,1.713e+03,9.123e+04,4.111e+03,9.706e+04
36.1,2.238e+03,1.474e+05,8.320e+03,1.579e+05
37.7,2.872e+03,2.448e+05,1.694e+04,2.646e+05
39.2,3.018e+03,4.021e+05,3.365e+04,4.388e+05
40.8,3.310e+03,5.770e+05,6.661e+04,6.469e+05
42.4,4.378e+03,7.811e+05,1.335e+05,9.189e+05
44.0,3.078e+03,6.946e+05,1.505e+05,8.481e+05
45.5,1.425e+03,4.860e+05,1.338e+05,6.213e+05
47.1,6.225e+02,3.593e+05,1.290e+05,4.889e+05
48.7,4.414e+02,2.382e+05,1.061e+05,3.447e+05
