freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.594e+02,9.195e+00,1.555e+01,4.842e+02
1.6,2.850e+02,2.757e+01,5.438e+01,3.670e+02
3.1,4.675e+01,3.191e+01,5.592e+01,1.346e+02
4.7,3.870e+02,3.637e+01,5.435e+01,4.778e+02
6.3,1.169e+03,3.586e+01,5.658e+01,1.262e+03
7.9,1.819e+03,3.376e+01,5.822e+01,1.911e+03
9.4,2.588e+03,3.051e+01,4.563e+01,2.664e+03
11.0,3.268e+03,2.715e+01,4.764e+01,3.343e+03
12.6,4.121e+03,3.154e+01,5.665e+01,4.209e+03
14.1,5.463e+03,3.557e+01,6.039e+01,5.559e+03
15.7,7.171e+03,3.568e+01,5.624e+01,7.262e+03
17.3,9.980e+03,4.065e+01,5.673e+01,1.008e+04
18.8,1.429e+04,4.642e+01,5.734e+01,1.439e+04
20.4,1.799e+04,5.043e+01,4.725e+01,1.809e+04
22.0,2.082e+04,6.602e+01,5.375e+01,2.094e+04
23.6,2.367e+04,8.451e+01,6.031e+01,2.381e+04
25.1,2.655e+04,1.030e+02,5.227e+01,2.670e+04
26.7,2.859e+04,1.336e+02,5.801e+01,2.878e+04
28.3,2.903e+04,1.334e+02,5.689e+01,2.922e+04
29.8,3.511e+04,1.371e+02,5.441e+01,3.530e+04
31.4,4.662e+04,1.962e+02,5.874e+01,4.687e+04
33.0,5.382e+04,2.257e+02,6.974e+01,5.411e+04
34.5,6.102e+04,2.930e+02,1.101e+02,6.142e+04
36.1,7.100e+04,3.865e+02,1.737e+02,7.156e+04
37.7,7.995e+04,3.929e+02,2.705e+02,8.062e+04
39.3,8.595e+04,3.031e+02,3.849e+02,8.664e+04
40.8,1.003e+05,2.663e+02,4.458e+02,1.010e+05
42.4,1.183e+05,5.016e+02,4.461e+02,1.193e+05
44.0,1.331e+05,1.234e+03,3.260e+02,1.346e+05
45.5,1.618e+05,1.702e+03,2.577e+02,1.638e+05
47.1,1.994e+05,1.571e+03,4.595e+02,2.014e+05
48.7,2.163e+05,1.165e+03,9.651e+02,2.184e+05
50.3,2.398e+05,6.431e+02,1.569e+03,2.420e+05
51.8,4.089e+05,3.567e+02,2.599e+03,4.119e+05
53.4,8.220e+05,5.756e+02,3.745e+03,8.263e+05
55.0,1.400e+06,1.709e+03,3.714e+03,1.405e+06
56.5,1.677e+06,2.826e+03,2.703e+03,1.683e+06
58.1,1.519e+06,3.393e+03,4.366e+03,1.527e+06
59.7,1.313e+06,3.379e+03,5.614e+03,1.322e+06
61.2,1.119e+06,3.552e+03,7.131e+03,1.130e+06
62.8,9.038e+05,4.310e+03,9.435e+03,9.175e+05
64.4,7.051e+05,4.910e+03,1.042e+04,7.204e+05
66.0,5.683e+05,5.473e+03,1.163e+04,5.854e+05
67.5,4.717e+05,5.830e+03,9.856e+03,4.874e+05
69.1,4.135e+05,6.708e+03,7.691e+03,4.279e+05
70.7,4.006e+05,7.909e+03,7.512e+03,4.160e+05
72.2,3.773e+05,8.544e+03,7.972e+03,3.939e+05
73.8,3.173e+05,7.898e+03,7.871e+03,3.330e+05
75.4,2.251e+05,5.895e+03,6.089e+03,2.371e+05
77.0,1.610e+05,3.776e+03,4.639e+03,1.694e+05
78.5,1.058e+05,1.947e+03,3.498e+03,1.113e+05
80.1,6.343e+04,1.128e+03,2.396e+03,6.695e+04
81.7,3.626e+04,7.130e+02,1.315e+03,3.828e+04
83.2,2.225e+04,4.131e+02,8.129e+02,2.348e+04
84.8,1.702e+04,2.836e+02,6.769e+02,1.798e+04
86.4,1.085e+04,2.380e+02,4.840e+02,1.157e+04
87.9,1.610e+04,3.263e+02,5.696e+02,1.700e+04
89.5,2.973e+04,6.005e+02,8.715e+02,3.120e+04
91.1,4.211e+04,8.654e+02,1.305e+03,4.428e+04
92.7,6.407e+04,1.234e+03,2.273e+03,6.757e+04
94.2,9.068e+04,1.672e+03,3.552e+03,9.590e+04
95.8,1.332e+05,2.614e+03,5.550e+03,1.414e+05
97.4,1.651e+05,3.484e+03,7.558e+03,1.761e+05
98.9,1.841e+05,4.144e+03,9.300e+03,1.976e+05
100.5,1.803e+05,4.206e+03,9.919e+03,1.945e+05
102.1,1.379e+05,3.036e+03,8.426e+03,1.494e+05
103.6,9.201e+04,1.934e+03,5.849e+03,9.979e+04
105.2,6.579e+04,1.326e+03,3.951e+03,7.107e+04
106.8,7.406e+04,1.646e+03,4.200e+03,7.990e+04
108.4,1.187e+05,3.119e+03,7.480e+03,1.293e+05
109.9,1.798e+05,5.350e+03,1.237e+04,1.975e+05
111.5,1.979e+05,6.166e+03,1.438e+04,2.185e+05
113.1,1.734e+05,5.170e+03,1.345e+04,1.920e+05
114.6,1.407e+05,3.908e+03,1.163e+04,1.563e+05
116.2,1.098e+05,2.886e+03,9.586e+03,1.223e+05
117.8,8.786e+04,2.237e+03,8.251e+03,9.834e+04
119.4,7.727e+04,2.118e+03,8.219e+03,8.760e+04
120.9,8.934e+04,3.038e+03,1.156e+04,1.039e+05
122.5,1.189e+05,4.548e+03,1.737e+04,1.408e+05
124.1,1.346e+05,5.186e+03,2.091e+04,1.607e+05
125.6,1.305e+05,4.831e+03,2.100e+04,1.564e+05
127.2,1.188e+05,4.280e+03,1.974e+04,1.428e+05
128.8,1.083e+05,3.887e+03,1.875e+04,1.309e+05
130.3,1.023e+05,3.729e+03,1.855e+04,1.246e+05
131.9,9.387e+04,3.550e+03,1.794e+04,1.154e+05
133.5,5.327e+04,2.430e+03,1.096e+04,6.665e+04
135.1,2.909e+04,1.772e+03,6.656e+03,3.752e+04
136.6,2.814e+04,1.821e+03,6.639e+03,3.660e+04
138.2,2.764e+04,1.857e+03,6.604e+03,3.610e+04
139.8,2.778e+04,1.969e+03,6.824e+03,3.658e+04
141.3,2.756e+04,2.018e+03,6.944e+03,3.653e+04
142.9,2.777e+04,2.126e+03,7.093e+03,3.699e+04
144.5,2.878e+04,2.271e+03,7.537e+03,3.859e+04
146.1,2.985e+04,2.397e+03,7.983e+03,4.023e+04
147.6,3.272e+04,2.598e+03,9.211e+03,4.453e+04
149.2,3.801e+04,2.934e+03,1.135e+04,5.229e+04
150.8,4.131e+04,3.146e+03,1.310e+04,5.756e+04
152.3,4.475e+04,3.440e+03,1.495e+04,6.314e+04
153.9,4.757e+04,3.836e+03,1.643e+04,6.784e+04
155.5,5.187e+04,4.390e+03,1.836e+04,7.462e+04
157.0,5.617e+04,5.459e+03,2.036e+04,8.199e+04
158.6,6.122e+04,6.675e+03,2.219e+04,9.008e+04
160.2,6.726e+04,8.130e+03,2.409e+04,9.949e+04
