freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.320e+01,1.250e+03,1.805e+02,1.444e+03
1.6,3.967e+01,7.400e+02,1.568e+02,9.364e+02
3.1,3.908e+01,4.481e+01,7.518e+01,1.591e+02
4.7,4.148e+01,4.071e+02,7.527e+01,5.238e+02
6.3,4.836e+01,1.171e+03,6.937e+01,1.289e+03
7.9,5.043e+01,1.902e+03,6.441e+01,2.016e+03
9.4,4.596e+01,2.830e+03,7.313e+01,2.949e+03
11.0,4.296e+01,3.846e+03,9.284e+01,3.981e+03
12.6,4.343e+01,5.080e+03,9.825e+01,5.222e+03
14.1,4.064e+01,6.864e+03,1.112e+02,7.015e+03
15.7,3.873e+01,8.947e+03,1.113e+02,9.097e+03
17.3,4.108e+01,1.137e+04,1.040e+02,1.152e+04
18.9,4.981e+01,1.520e+04,1.218e+02,1.537e+04
20.4,5.346e+01,2.054e+04,1.274e+02,2.072e+04
22.0,5.724e+01,2.731e+04,1.526e+02,2.752e+04
23.6,6.762e+01,3.761e+04,2.418e+02,3.792e+04
25.1,6.820e+01,5.030e+04,3.792e+02,5.075e+04
26.7,5.294e+01,6.483e+04,5.232e+02,6.540e+04
28.3,4.963e+01,8.856e+04,7.931e+02,8.940e+04
29.9,6.110e+01,1.294e+05,1.496e+03,1.310e+05
31.4,6.154e+01,1.950e+05,2.991e+03,1.980e+05
33.0,5.040e+01,3.050e+05,6.316e+03,3.113e+05
34.6,7.035e+01,5.050e+05,1.337e+04,5.184e+05
36.1,1.208e+02,9.168e+05,3.130e+04,9.483e+05
37.7,4.181e+02,2.105e+06,9.147e+04,2.197e+06
39.3,1.135e+03,3.995e+06,2.150e+05,4.211e+06
40.9,9.655e+02,3.996e+06,2.622e+05,4.259e+06
42.4,3.516e+02,2.502e+06,2.031e+05,2.705e+06
44.0,1.238e+02,1.365e+06,1.490e+05,1.515e+06
45.6,1.612e+02,1.022e+06,1.628e+05,1.185e+06
47.1,3.687e+02,8.922e+05,2.035e+05,1.096e+06
48.7,5.919e+02,7.076e+05,2.300e+05,9.382e+05
50.3,6.767e+02,5.242e+05,2.552e+05,7.801e+05
51.9,6.763e+02,4.067e+05,3.138e+05,7.212e+05
53.4,7.566e+02,3.216e+05,4.467e+05,7.691e+05
55.0,1.060e+03,2.874e+05,6.860e+05,9.745e+05
56.6,1.396e+03,2.839e+05,6.710e+05,9.563e+05
