freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.379e+02,9.923e+00,6.409e+00,1.542e+02
1.5,9.360e+01,2.047e+01,1.352e+01,1.276e+02
3.0,3.160e+01,2.290e+01,1.367e+01,6.817e+01
4.5,2.820e+02,2.620e+01,1.472e+01,3.229e+02
6.0,1.022e+03,3.016e+01,1.412e+01,1.066e+03
7.5,1.512e+03,2.156e+01,1.537e+01,1.549e+03
9.0,2.072e+03,1.683e+01,1.804e+01,2.107e+03
10.5,2.812e+03,1.749e+01,1.981e+01,2.850e+03
12.0,3.583e+03,2.167e+01,2.116e+01,3.626e+03
13.6,4.472e+03,2.892e+01,2.192e+01,4.523e+03
15.1,5.703e+03,3.421e+01,2.558e+01,5.763e+03
16.6,7.741e+03,4.503e+01,3.371e+01,7.819e+03
18.1,1.083e+04,6.637e+01,3.504e+01,1.093e+04
19.6,1.339e+04,7.460e+01,2.762e+01,1.349e+04
21.1,1.469e+04,5.328e+01,2.420e+01,1.476e+04
22.6,1.475e+04,5.183e+01,2.715e+01,1.483e+04
24.1,1.383e+04,9.892e+01,2.516e+01,1.395e+04
25.6,1.341e+04,2.011e+02,2.603e+01,1.364e+04
27.1,1.364e+04,4.033e+02,3.506e+01,1.407e+04
28.6,1.580e+04,5.625e+02,3.736e+01,1.640e+04
30.1,1.992e+04,7.809e+02,4.169e+01,2.074e+04
31.6,2.213e+04,1.376e+03,5.908e+01,2.357e+04
33.1,2.443e+04,2.052e+03,6.616e+01,2.655e+04
34.6,2.907e+04,2.766e+03,7.292e+01,3.191e+04
36.1,3.546e+04,3.365e+03,8.742e+01,3.891e+04
37.6,4.321e+04,3.813e+03,1.106e+02,4.714e+04
39.2,4.942e+04,3.831e+03,1.376e+02,5.339e+04
40.7,5.950e+04,4.144e+03,2.069e+02,6.386e+04
42.2,7.432e+04,4.329e+03,2.866e+02,7.894e+04
43.7,8.385e+04,4.261e+03,3.582e+02,8.847e+04
45.2,9.942e+04,3.859e+03,4.739e+02,1.038e+05
46.7,1.371e+05,3.973e+03,6.316e+02,1.417e+05
48.2,1.589e+05,3.782e+03,7.041e+02,1.634e+05
49.7,1.496e+05,4.090e+03,1.002e+03,1.547e+05
51.2,1.579e+05,4.708e+03,2.362e+03,1.650e+05
52.7,1.844e+05,4.961e+03,6.203e+03,1.955e+05
54.2,1.913e+05,3.977e+03,1.139e+04,2.067e+05
55.7,1.649e+05,2.494e+03,1.451e+04,1.819e+05
57.2,1.347e+05,2.165e+03,1.436e+04,1.513e+05
58.7,1.180e+05,2.679e+03,1.194e+04,1.326e+05
60.2,1.133e+05,3.434e+03,9.806e+03,1.266e+05
61.7,1.111e+05,4.166e+03,9.065e+03,1.244e+05
63.2,1.074e+05,5.105e+03,8.824e+03,1.213e+05
64.8,1.008e+05,6.571e+03,7.433e+03,1.148e+05
66.3,9.514e+04,8.306e+03,5.647e+03,1.091e+05
67.8,9.186e+04,9.162e+03,4.225e+03,1.052e+05
69.3,9.030e+04,9.548e+03,3.504e+03,1.034e+05
70.8,8.591e+04,9.006e+03,3.134e+03,9.805e+04
72.3,7.438e+04,5.978e+03,2.727e+03,8.309e+04
73.8,5.516e+04,3.882e+03,1.986e+03,6.103e+04
75.3,4.219e+04,2.863e+03,1.570e+03,4.662e+04
76.8,2.875e+04,2.268e+03,1.109e+03,3.212e+04
78.3,1.903e+04,1.737e+03,6.612e+02,2.143e+04
79.8,1.424e+04,1.496e+03,4.578e+02,1.619e+04
81.3,7.642e+03,1.421e+03,2.796e+02,9.342e+03
82.8,5.107e+03,1.403e+03,3.628e+02,6.873e+03
84.3,6.751e+03,1.353e+03,6.829e+02,8.787e+03
85.8,1.374e+04,1.252e+03,1.280e+03,1.627e+04
87.3,2.398e+04,1.176e+03,2.236e+03,2.739e+04
88.8,3.797e+04,1.437e+03,4.125e+03,4.353e+04
90.4,4.707e+04,2.039e+03,6.059e+03,5.517e+04
91.9,4.662e+04,2.684e+03,6.841e+03,5.615e+04
93.4,3.935e+04,3.273e+03,6.559e+03,4.918e+04
94.9,3.320e+04,3.522e+03,5.961e+03,4.268e+04
96.4,2.933e+04,3.803e+03,5.379e+03,3.852e+04
97.9,2.627e+04,3.683e+03,4.544e+03,3.450e+04
99.4,2.310e+04,3.519e+03,4.078e+03,3.069e+04
100.9,1.942e+04,3.456e+03,3.670e+03,2.654e+04
102.4,1.535e+04,3.131e+03,3.214e+03,2.169e+04
103.9,1.224e+04,2.523e+03,2.832e+03,1.760e+04
105.4,1.225e+04,2.460e+03,2.828e+03,1.754e+04
106.9,1.548e+04,3.083e+03,3.231e+03,2.179e+04
108.4,1.944e+04,4.286e+03,3.588e+03,2.732e+04
109.9,2.424e+04,6.450e+03,3.678e+03,3.436e+04
111.4,2.880e+04,8.803e+03,3.417e+03,4.102e+04
112.9,3.324e+04,1.098e+04,3.041e+03,4.726e+04
114.5,3.696e+04,1.227e+04,2.611e+03,5.184e+04
116.0,3.802e+04,1.193e+04,2.218e+03,5.216e+04
117.5,3.616e+04,1.048e+04,1.973e+03,4.861e+04
119.0,3.385e+04,9.075e+03,1.927e+03,4.485e+04
120.5,3.554e+04,9.124e+03,2.259e+03,4.692e+04
122.0,4.043e+04,1.032e+04,2.890e+03,5.365e+04
123.5,4.641e+04,1.172e+04,3.589e+03,6.172e+04
125.0,5.103e+04,1.272e+04,4.201e+03,6.795e+04
126.5,5.337e+04,1.314e+04,4.737e+03,7.125e+04
128.0,5.354e+04,1.302e+04,5.112e+03,7.166e+04
129.5,5.383e+04,1.292e+04,5.511e+03,7.226e+04
131.0,5.292e+04,1.259e+04,5.814e+03,7.133e+04
132.5,4.155e+04,9.970e+03,4.872e+03,5.640e+04
134.0,2.069e+04,5.439e+03,2.969e+03,2.910e+04
135.5,1.626e+04,4.488e+03,2.764e+03,2.351e+04
137.0,1.537e+04,4.338e+03,2.851e+03,2.256e+04
138.5,1.439e+04,4.251e+03,2.767e+03,2.140e+04
140.1,1.374e+04,4.289e+03,2.819e+03,2.084e+04
141.6,1.279e+04,4.143e+03,2.965e+03,1.990e+04
143.1,1.139e+04,3.809e+03,2.964e+03,1.816e+04
144.6,9.393e+03,3.223e+03,2.611e+03,1.523e+04
146.1,7.798e+03,2.751e+03,2.321e+03,1.287e+04
147.6,6.335e+03,2.339e+03,2.033e+03,1.071e+04
149.1,5.337e+03,1.990e+03,1.885e+03,9.211e+03
150.6,4.870e+03,1.836e+03,1.872e+03,8.579e+03
152.1,4.440e+03,1.717e+03,1.776e+03,7.933e+03
153.6,3.781e+03,1.541e+03,1.558e+03,6.880e+03
155.1,3.346e+03,1.400e+03,1.411e+03,6.157e+03
156.6,3.043e+03,1.300e+03,1.333e+03,5.676e+03
158.1,3.359e+03,1.435e+03,1.581e+03,6.375e+03
159.6,3.914e+03,1.669e+03,1.941e+03,7.524e+03
161.1,3.770e+03,1.618e+03,1.951e+03,7.339e+03
162.6,3.065e+03,1.392e+03,1.828e+03,6.284e+03
