freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.630e+01,1.092e+03,7.908e+01,1.217e+03
1.5,4.892e+01,6.113e+02,1.283e+02,7.885e+02
3.0,2.941e+01,3.563e+01,8.297e+01,1.480e+02
4.5,2.862e+01,3.409e+02,3.235e+01,4.018e+02
6.0,3.297e+01,1.144e+03,5.561e+01,1.233e+03
7.5,3.167e+01,1.805e+03,9.266e+01,1.930e+03
9.0,3.046e+01,2.778e+03,7.650e+01,2.885e+03
10.5,3.002e+01,4.082e+03,1.160e+02,4.228e+03
12.0,2.786e+01,5.630e+03,1.041e+02,5.762e+03
13.6,2.777e+01,7.502e+03,7.108e+01,7.601e+03
15.1,3.053e+01,9.863e+03,5.243e+01,9.946e+03
16.6,3.273e+01,1.270e+04,5.420e+01,1.279e+04
18.1,3.542e+01,1.642e+04,7.898e+01,1.653e+04
19.6,4.473e+01,2.158e+04,9.157e+01,2.172e+04
21.1,5.740e+01,2.836e+04,1.037e+02,2.852e+04
22.6,6.159e+01,3.772e+04,1.536e+02,3.794e+04
24.1,7.734e+01,5.039e+04,2.720e+02,5.074e+04
25.6,1.069e+02,6.431e+04,4.551e+02,6.487e+04
27.1,1.338e+02,8.386e+04,6.976e+02,8.469e+04
28.6,2.186e+02,1.178e+05,1.026e+03,1.191e+05
30.1,4.239e+02,1.731e+05,1.705e+03,1.752e+05
31.6,7.154e+02,2.588e+05,2.877e+03,2.624e+05
33.1,1.241e+03,4.248e+05,5.900e+03,4.320e+05
34.6,2.705e+03,8.307e+05,1.604e+04,8.494e+05
36.1,7.057e+03,2.024e+06,5.696e+04,2.088e+06
37.6,1.422e+04,3.602e+06,1.260e+05,3.742e+06
39.2,1.787e+04,3.484e+06,1.492e+05,3.651e+06
40.7,1.755e+04,2.349e+06,1.217e+05,2.488e+06
42.2,1.574e+04,1.439e+06,9.271e+04,1.548e+06
43.7,1.408e+04,9.402e+05,8.183e+04,1.036e+06
45.2,1.546e+04,7.031e+05,8.935e+04,8.079e+05
46.7,2.013e+04,5.657e+05,1.060e+05,6.918e+05
48.2,2.171e+04,4.324e+05,1.243e+05,5.784e+05
49.7,1.944e+04,3.187e+05,1.566e+05,4.947e+05
51.2,1.907e+04,2.529e+05,2.073e+05,4.793e+05
52.7,2.372e+04,2.253e+05,2.184e+05,4.675e+05
54.2,3.419e+04,2.085e+05,2.243e+05,4.671e+05
55.7,5.274e+04,1.854e+05,2.268e+05,4.649e+05
57.2,7.467e+04,1.539e+05,1.635e+05,3.920e+05
58.7,9.513e+04,1.450e+05,8.547e+04,3.256e+05
60.2,1.147e+05,1.545e+05,4.174e+04,3.110e+05
61.7,1.344e+05,1.674e+05,1.729e+04,3.191e+05
63.3,1.494e+05,1.759e+05,9.860e+03,3.352e+05
64.8,1.593e+05,1.806e+05,1.152e+04,3.514e+05
66.3,1.688e+05,1.876e+05,1.429e+04,3.707e+05
67.8,1.749e+05,2.041e+05,1.978e+04,3.988e+05
69.3,1.721e+05,2.323e+05,3.280e+04,4.373e+05
70.8,1.667e+05,2.625e+05,4.585e+04,4.751e+05
72.3,1.485e+05,2.624e+05,4.712e+04,4.581e+05
73.8,1.048e+05,1.992e+05,3.506e+04,3.390e+05
75.3,6.143e+04,1.180e+05,2.247e+04,2.019e+05
76.8,3.270e+04,6.702e+04,1.368e+04,1.134e+05
78.3,1.565e+04,4.397e+04,8.368e+03,6.799e+04
79.8,6.606e+03,3.195e+04,5.741e+03,4.430e+04
81.3,2.815e+03,2.521e+04,4.987e+03,3.301e+04
82.8,2.100e+03,2.167e+04,6.078e+03,2.985e+04
84.3,8.274e+02,1.575e+04,6.009e+03,2.259e+04
85.8,7.213e+02,1.254e+04,5.916e+03,1.918e+04
87.3,1.911e+03,1.170e+04,6.327e+03,1.994e+04
88.9,3.342e+03,9.644e+03,7.228e+03,2.021e+04
90.4,4.244e+03,7.190e+03,6.850e+03,1.828e+04
91.9,6.253e+03,5.894e+03,6.306e+03,1.845e+04
93.4,8.560e+03,4.972e+03,5.855e+03,1.939e+04
94.9,1.258e+04,4.682e+03,5.552e+03,2.282e+04
96.4,1.483e+04,4.320e+03,5.388e+03,2.454e+04
97.9,1.323e+04,3.331e+03,5.093e+03,2.165e+04
99.4,9.516e+03,2.538e+03,4.503e+03,1.656e+04
100.9,7.241e+03,2.408e+03,4.001e+03,1.365e+04
102.4,7.449e+03,3.204e+03,3.810e+03,1.446e+04
103.9,1.120e+04,5.509e+03,4.178e+03,2.088e+04
105.4,1.420e+04,5.821e+03,3.879e+03,2.390e+04
106.9,8.337e+03,3.012e+03,3.402e+03,1.475e+04
108.4,5.878e+03,2.543e+03,4.043e+03,1.246e+04
109.9,8.557e+03,3.601e+03,5.530e+03,1.769e+04
111.4,1.373e+04,4.768e+03,6.165e+03,2.467e+04
112.9,1.342e+04,6.304e+03,6.502e+03,2.623e+04
114.5,1.111e+04,8.112e+03,8.120e+03,2.734e+04
116.0,1.192e+04,8.978e+03,1.031e+04,3.120e+04
117.5,1.489e+04,7.610e+03,1.103e+04,3.353e+04
119.0,1.981e+04,7.637e+03,1.124e+04,3.869e+04
120.5,2.351e+04,8.362e+03,1.132e+04,4.319e+04
122.0,2.507e+04,9.392e+03,1.084e+04,4.530e+04
123.5,2.561e+04,1.038e+04,1.004e+04,4.603e+04
125.0,2.566e+04,1.133e+04,9.018e+03,4.601e+04
126.5,2.452e+04,1.155e+04,8.231e+03,4.430e+04
128.0,2.251e+04,1.097e+04,7.639e+03,4.112e+04
129.5,2.022e+04,9.901e+03,7.217e+03,3.734e+04
131.0,1.792e+04,8.857e+03,6.932e+03,3.370e+04
132.5,1.604e+04,7.055e+03,5.482e+03,2.858e+04
134.0,1.722e+04,5.081e+03,2.862e+03,2.517e+04
135.5,1.816e+04,4.790e+03,2.173e+03,2.512e+04
137.0,1.821e+04,4.518e+03,2.089e+03,2.482e+04
138.6,1.815e+04,4.056e+03,2.140e+03,2.435e+04
140.1,1.769e+04,3.447e+03,2.159e+03,2.330e+04
141.6,1.708e+04,2.830e+03,2.136e+03,2.205e+04
