freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.478e+01,1.305e+02,6.524e+00,1.818e+02
1.5,3.282e+01,8.098e+01,1.704e+01,1.308e+02
3.1,9.670e+00,2.101e+01,1.748e+01,4.816e+01
4.6,1.061e+01,2.954e+02,2.215e+01,3.282e+02
6.1,9.936e+00,9.273e+02,2.539e+01,9.627e+02
7.7,1.007e+01,1.553e+03,1.876e+01,1.582e+03
9.2,9.829e+00,2.357e+03,1.777e+01,2.385e+03
10.7,1.146e+01,3.408e+03,1.844e+01,3.438e+03
12.2,1.341e+01,4.881e+03,1.730e+01,4.912e+03
13.8,1.228e+01,6.493e+03,1.706e+01,6.523e+03
15.3,1.253e+01,8.359e+03,1.702e+01,8.389e+03
16.8,1.669e+01,1.086e+04,1.576e+01,1.090e+04
18.4,2.384e+01,1.405e+04,1.563e+01,1.409e+04
19.9,3.804e+01,1.799e+04,1.806e+01,1.804e+04
21.4,7.132e+01,2.317e+04,2.399e+01,2.327e+04
23.0,1.442e+02,2.799e+04,3.842e+01,2.817e+04
24.5,2.068e+02,3.186e+04,5.754e+01,3.213e+04
26.0,3.807e+02,3.952e+04,6.092e+01,3.996e+04
27.6,8.979e+02,5.335e+04,4.177e+01,5.429e+04
29.1,2.543e+03,7.445e+04,4.610e+01,7.704e+04
30.6,8.272e+03,1.128e+05,1.036e+02,1.211e+05
32.1,2.379e+04,1.592e+05,2.490e+02,1.833e+05
33.7,4.920e+04,1.803e+05,4.471e+02,2.299e+05
35.2,5.882e+04,1.415e+05,5.244e+02,2.008e+05
36.7,5.449e+04,9.093e+04,6.410e+02,1.461e+05
38.3,5.658e+04,6.168e+04,6.689e+02,1.189e+05
39.8,5.137e+04,3.636e+04,6.691e+02,8.840e+04
41.3,3.827e+04,2.068e+04,6.062e+02,5.956e+04
42.9,3.315e+04,1.651e+04,4.722e+02,5.013e+04
44.4,3.290e+04,1.549e+04,4.564e+02,4.884e+04
45.9,3.253e+04,1.413e+04,5.208e+02,4.719e+04
47.5,3.505e+04,1.618e+04,6.629e+02,5.190e+04
49.0,3.990e+04,2.231e+04,7.408e+02,6.295e+04
50.5,4.459e+04,3.050e+04,7.150e+02,7.581e+04
52.0,4.369e+04,3.614e+04,5.549e+02,8.039e+04
53.6,4.132e+04,3.999e+04,4.354e+02,8.175e+04
55.1,5.130e+04,5.963e+04,3.031e+02,1.112e+05
56.6,5.569e+04,7.218e+04,1.219e+02,1.280e+05
58.2,5.234e+04,7.311e+04,1.105e+02,1.256e+05
59.7,5.649e+04,8.435e+04,1.472e+02,1.410e+05
61.2,5.836e+04,9.238e+04,2.008e+02,1.509e+05
62.8,5.570e+04,9.329e+04,3.287e+02,1.493e+05
64.3,5.179e+04,8.995e+04,6.048e+02,1.423e+05
65.8,4.540e+04,8.027e+04,1.252e+03,1.269e+05
67.4,3.938e+04,7.164e+04,1.874e+03,1.129e+05
68.9,3.464e+04,6.594e+04,1.820e+03,1.024e+05
70.4,2.855e+04,5.734e+04,1.061e+03,8.695e+04
71.9,2.233e+04,4.877e+04,5.903e+02,7.169e+04
73.5,1.815e+04,4.369e+04,4.646e+02,6.230e+04
75.0,1.657e+04,4.322e+04,5.346e+02,6.033e+04
76.5,1.549e+04,4.081e+04,6.577e+02,5.696e+04
78.1,1.447e+04,3.563e+04,6.034e+02,5.070e+04
79.6,1.344e+04,3.015e+04,4.908e+02,4.408e+04
81.1,1.261e+04,2.588e+04,4.878e+02,3.898e+04
82.7,1.171e+04,2.113e+04,4.535e+02,3.330e+04
84.2,1.041e+04,1.749e+04,4.684e+02,2.836e+04
85.7,9.035e+03,1.628e+04,5.394e+02,2.585e+04
87.3,7.738e+03,1.672e+04,5.834e+02,2.504e+04
88.8,6.528e+03,2.141e+04,6.405e+02,2.857e+04
90.3,4.913e+03,3.404e+04,6.820e+02,3.964e+04
91.8,3.004e+03,4.925e+04,6.527e+02,5.291e+04
93.4,1.712e+03,5.664e+04,6.158e+02,5.896e+04
94.9,9.845e+02,6.032e+04,7.127e+02,6.202e+04
96.4,6.379e+02,6.639e+04,1.303e+03,6.833e+04
98.0,5.479e+02,7.673e+04,2.569e+03,7.984e+04
99.5,4.143e+02,7.388e+04,3.167e+03,7.747e+04
101.0,3.861e+02,5.610e+04,3.669e+03,6.015e+04
102.6,1.015e+03,3.480e+04,4.675e+03,4.049e+04
104.1,2.729e+03,2.053e+04,5.113e+03,2.837e+04
105.6,5.133e+03,2.307e+04,4.540e+03,3.274e+04
107.2,8.694e+03,3.923e+04,3.322e+03,5.125e+04
108.7,1.062e+04,5.265e+04,2.190e+03,6.545e+04
110.2,1.135e+04,6.471e+04,1.598e+03,7.765e+04
111.7,1.286e+04,8.089e+04,1.095e+03,9.485e+04
113.3,1.395e+04,8.999e+04,6.252e+02,1.046e+05
114.8,1.394e+04,8.989e+04,3.837e+02,1.042e+05
116.3,1.311e+04,8.517e+04,3.115e+02,9.859e+04
117.9,1.240e+04,8.031e+04,3.215e+02,9.303e+04
119.4,1.182e+04,7.564e+04,3.471e+02,8.781e+04
120.9,9.932e+03,6.287e+04,3.195e+02,7.312e+04
122.5,7.798e+03,4.986e+04,3.034e+02,5.796e+04
124.0,7.842e+03,4.968e+04,4.040e+02,5.793e+04
125.5,6.744e+03,4.062e+04,5.040e+02,4.787e+04
127.1,5.747e+03,3.386e+04,5.560e+02,4.016e+04
128.6,5.638e+03,3.203e+04,6.964e+02,3.837e+04
130.1,6.667e+03,3.716e+04,8.527e+02,4.468e+04
131.6,7.051e+03,3.819e+04,9.527e+02,4.619e+04
133.2,3.935e+03,1.889e+04,7.447e+02,2.357e+04
134.7,1.049e+03,1.780e+03,5.128e+02,3.341e+03
136.2,7.168e+02,5.201e+02,4.190e+02,1.656e+03
137.8,6.236e+02,5.027e+02,3.893e+02,1.516e+03
139.3,5.390e+02,4.130e+02,4.078e+02,1.360e+03
140.8,4.639e+02,4.161e+02,4.214e+02,1.301e+03
142.4,3.575e+02,4.481e+02,3.591e+02,1.165e+03
143.9,2.739e+02,5.570e+02,3.271e+02,1.158e+03
145.4,2.018e+02,5.652e+02,2.870e+02,1.054e+03
147.0,1.737e+02,5.695e+02,2.529e+02,9.962e+02
148.5,1.870e+02,6.428e+02,2.586e+02,1.088e+03
150.0,2.085e+02,7.396e+02,3.052e+02,1.253e+03
151.5,2.204e+02,8.315e+02,3.228e+02,1.375e+03
153.1,2.342e+02,8.741e+02,3.266e+02,1.435e+03
154.6,2.400e+02,8.916e+02,3.866e+02,1.518e+03
156.1,2.178e+02,7.902e+02,4.268e+02,1.435e+03
157.7,2.366e+02,6.382e+02,4.406e+02,1.315e+03
159.2,3.475e+02,7.970e+02,4.655e+02,1.610e+03
160.7,5.108e+02,1.164e+03,5.002e+02,2.175e+03
162.3,6.548e+02,1.400e+03,4.988e+02,2.553e+03
163.8,8.173e+02,1.759e+03,5.030e+02,3.080e+03
165.3,1.104e+03,2.259e+03,5.815e+02,3.944e+03
166.9,1.421e+03,2.559e+03,7.958e+02,4.776e+03
168.4,1.577e+03,2.663e+03,9.552e+02,5.195e+03
169.9,1.705e+03,2.626e+03,1.193e+03,5.524e+03
171.4,1.889e+03,2.770e+03,1.513e+03,6.172e+03
173.0,1.967e+03,2.865e+03,1.732e+03,6.564e+03
174.5,1.990e+03,3.177e+03,1.858e+03,7.026e+03
176.0,1.978e+03,3.281e+03,1.960e+03,7.219e+03
177.6,1.888e+03,3.269e+03,2.001e+03,7.158e+03
179.1,1.638e+03,3.513e+03,1.840e+03,6.992e+03
180.6,1.317e+03,3.938e+03,1.543e+03,6.798e+03
182.2,9.812e+02,4.103e+03,1.242e+03,6.326e+03
183.7,6.959e+02,4.265e+03,1.005e+03,5.966e+03
185.2,4.976e+02,4.456e+03,8.032e+02,5.756e+03
186.8,4.436e+02,4.692e+03,6.918e+02,5.827e+03
188.3,4.914e+02,4.975e+03,6.860e+02,6.152e+03
189.8,5.495e+02,5.312e+03,6.793e+02,6.541e+03
191.4,6.991e+02,5.829e+03,8.198e+02,7.348e+03
192.9,8.520e+02,6.408e+03,1.016e+03,8.276e+03
194.4,9.732e+02,6.855e+03,1.262e+03,9.090e+03
195.9,1.162e+03,7.051e+03,1.540e+03,9.753e+03
197.5,1.408e+03,7.206e+03,1.932e+03,1.055e+04
199.0,1.799e+03,7.627e+03,2.678e+03,1.210e+04
