freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.608e+01,1.843e+01,2.877e+02,3.222e+02
1.5,2.497e+01,3.406e+01,1.940e+02,2.531e+02
3.1,2.359e+01,5.943e+01,5.565e+01,1.387e+02
4.6,2.635e+01,3.617e+02,3.673e+02,7.554e+02
6.2,2.593e+01,3.192e+02,1.104e+03,1.449e+03
7.7,2.528e+01,4.730e+01,1.749e+03,1.821e+03
9.3,2.908e+01,2.948e+01,2.547e+03,2.606e+03
10.8,3.331e+01,2.733e+01,3.319e+03,3.380e+03
12.3,3.273e+01,2.560e+01,4.174e+03,4.232e+03
13.9,2.743e+01,2.481e+01,5.387e+03,5.439e+03
15.4,2.884e+01,2.703e+01,7.052e+03,7.107e+03
17.0,3.072e+01,2.892e+01,9.895e+03,9.955e+03
18.5,3.240e+01,2.798e+01,1.303e+04,1.309e+04
20.1,3.090e+01,3.379e+01,1.547e+04,1.553e+04
21.6,3.308e+01,4.076e+01,1.771e+04,1.778e+04
23.1,3.654e+01,4.699e+01,1.970e+04,1.979e+04
24.7,3.250e+01,5.426e+01,2.203e+04,2.211e+04
26.2,2.925e+01,6.774e+01,2.526e+04,2.536e+04
27.8,2.943e+01,8.872e+01,3.191e+04,3.203e+04
29.3,3.919e+01,1.231e+02,4.186e+04,4.202e+04
30.8,5.122e+01,1.741e+02,5.060e+04,5.082e+04
32.4,7.511e+01,2.367e+02,5.992e+04,6.023e+04
33.9,1.050e+02,3.090e+02,6.904e+04,6.946e+04
35.5,1.274e+02,4.309e+02,8.290e+04,8.346e+04
37.0,1.411e+02,5.985e+02,9.852e+04,9.926e+04
38.6,1.873e+02,8.031e+02,1.176e+05,1.185e+05
40.1,3.220e+02,1.111e+03,1.421e+05,1.435e+05
41.6,5.761e+02,1.526e+03,1.700e+05,1.721e+05
43.2,1.158e+03,2.449e+03,2.271e+05,2.307e+05
44.7,2.077e+03,4.195e+03,2.974e+05,3.037e+05
46.3,3.571e+03,6.036e+03,3.418e+05,3.515e+05
47.8,4.820e+03,6.732e+03,3.792e+05,3.908e+05
49.4,7.339e+03,7.764e+03,4.177e+05,4.328e+05
50.9,1.619e+04,1.171e+04,4.960e+05,5.239e+05
52.4,2.402e+04,1.509e+04,5.176e+05,5.567e+05
54.0,2.790e+04,1.556e+04,4.681e+05,5.116e+05
55.5,2.802e+04,1.402e+04,4.229e+05,4.649e+05
57.1,2.514e+04,1.160e+04,3.671e+05,4.038e+05
58.6,2.067e+04,8.670e+03,3.072e+05,3.366e+05
60.2,1.433e+04,5.916e+03,2.526e+05,2.729e+05
61.7,9.205e+03,4.562e+03,1.961e+05,2.099e+05
63.2,6.458e+03,4.607e+03,1.457e+05,1.568e+05
64.8,5.577e+03,4.980e+03,1.166e+05,1.272e+05
66.3,4.610e+03,4.289e+03,9.921e+04,1.081e+05
67.9,2.807e+03,3.331e+03,8.670e+04,9.283e+04
69.4,1.336e+03,3.239e+03,7.139e+04,7.596e+04
71.0,9.728e+02,3.193e+03,4.921e+04,5.338e+04
72.5,8.148e+02,2.465e+03,2.818e+04,3.146e+04
74.0,5.316e+02,1.994e+03,1.673e+04,1.925e+04
75.6,3.905e+02,1.653e+03,1.064e+04,1.268e+04
77.1,2.984e+02,1.751e+03,8.978e+03,1.103e+04
78.7,2.827e+02,1.533e+03,8.515e+03,1.033e+04
80.2,4.858e+02,1.059e+03,5.534e+03,7.079e+03
81.7,6.051e+02,1.433e+03,4.641e+03,6.679e+03
83.3,5.812e+02,1.049e+03,5.285e+03,6.915e+03
84.8,6.079e+02,1.328e+03,9.017e+03,1.095e+04
86.4,7.252e+02,3.851e+03,1.711e+04,2.169e+04
87.9,1.311e+03,1.094e+04,2.806e+04,4.031e+04
89.5,2.049e+03,2.057e+04,3.915e+04,6.177e+04
91.0,3.341e+03,2.928e+04,4.745e+04,8.007e+04
92.5,4.959e+03,3.532e+04,5.041e+04,9.069e+04
94.1,6.187e+03,3.820e+04,4.920e+04,9.359e+04
95.6,7.553e+03,3.933e+04,4.773e+04,9.462e+04
97.2,9.244e+03,3.858e+04,4.578e+04,9.360e+04
98.7,1.037e+04,3.716e+04,4.122e+04,8.874e+04
100.3,9.728e+03,3.417e+04,3.314e+04,7.704e+04
101.8,8.121e+03,2.924e+04,2.535e+04,6.272e+04
103.3,6.814e+03,2.402e+04,2.089e+04,5.172e+04
104.9,6.632e+03,1.978e+04,1.978e+04,4.619e+04
106.4,8.594e+03,1.915e+04,2.127e+04,4.902e+04
108.0,1.223e+04,2.316e+04,2.355e+04,5.895e+04
109.5,1.535e+04,2.899e+04,2.413e+04,6.846e+04
111.1,1.746e+04,3.613e+04,2.319e+04,7.678e+04
112.6,1.816e+04,4.226e+04,2.125e+04,8.166e+04
114.1,1.709e+04,4.478e+04,1.803e+04,7.990e+04
115.7,1.494e+04,4.240e+04,1.358e+04,7.092e+04
