freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.234e+02,1.190e+01,1.886e+01,4.542e+02
1.6,2.720e+02,3.057e+01,6.627e+01,3.689e+02
3.1,5.535e+01,3.809e+01,7.672e+01,1.702e+02
4.7,3.756e+02,3.722e+01,7.299e+01,4.858e+02
6.3,1.161e+03,3.692e+01,6.936e+01,1.268e+03
7.9,1.784e+03,3.136e+01,6.312e+01,1.878e+03
9.4,2.520e+03,3.331e+01,7.142e+01,2.625e+03
11.0,3.257e+03,3.259e+01,6.880e+01,3.359e+03
12.6,4.053e+03,2.883e+01,6.932e+01,4.151e+03
14.1,5.214e+03,3.183e+01,6.926e+01,5.315e+03
15.7,6.896e+03,3.446e+01,6.746e+01,6.998e+03
17.3,9.575e+03,3.589e+01,6.887e+01,9.679e+03
18.9,1.351e+04,3.647e+01,7.833e+01,1.362e+04
20.4,1.686e+04,3.425e+01,8.033e+01,1.698e+04
22.0,1.959e+04,4.122e+01,8.224e+01,1.971e+04
23.6,2.231e+04,4.646e+01,7.364e+01,2.243e+04
25.1,2.488e+04,4.760e+01,6.923e+01,2.499e+04
26.7,2.777e+04,5.808e+01,7.990e+01,2.791e+04
28.3,3.052e+04,8.272e+01,8.806e+01,3.069e+04
29.9,3.541e+04,1.449e+02,6.926e+01,3.562e+04
31.4,4.466e+04,2.492e+02,7.833e+01,4.499e+04
33.0,5.054e+04,4.529e+02,8.653e+01,5.107e+04
34.6,5.799e+04,9.177e+02,1.214e+02,5.903e+04
36.2,6.865e+04,1.963e+03,1.596e+02,7.078e+04
37.7,7.920e+04,4.171e+03,2.195e+02,8.359e+04
39.3,8.775e+04,7.363e+03,3.912e+02,9.550e+04
40.9,1.056e+05,9.970e+03,6.458e+02,1.162e+05
42.4,1.282e+05,9.243e+03,6.972e+02,1.381e+05
44.0,1.510e+05,7.697e+03,6.916e+02,1.594e+05
45.6,1.887e+05,6.907e+03,7.403e+02,1.963e+05
47.2,2.277e+05,6.773e+03,8.633e+02,2.354e+05
48.7,2.456e+05,6.354e+03,1.024e+03,2.529e+05
50.3,2.646e+05,6.344e+03,1.309e+03,2.722e+05
51.9,3.944e+05,7.612e+03,2.159e+03,4.042e+05
53.4,7.266e+05,1.150e+04,5.412e+03,7.436e+05
55.0,1.289e+06,1.727e+04,1.704e+04,1.323e+06
56.6,1.779e+06,1.874e+04,2.956e+04,1.828e+06
58.2,1.814e+06,1.655e+04,3.359e+04,1.864e+06
59.7,1.601e+06,1.446e+04,2.637e+04,1.642e+06
61.3,1.292e+06,1.246e+04,2.153e+04,1.326e+06
62.9,9.693e+05,1.107e+04,1.772e+04,9.981e+05
64.4,7.005e+05,1.095e+04,1.414e+04,7.256e+05
66.0,5.158e+05,1.228e+04,1.093e+04,5.390e+05
67.6,3.970e+05,1.488e+04,8.066e+03,4.199e+05
69.2,3.341e+05,1.912e+04,5.596e+03,3.588e+05
70.7,3.056e+05,2.252e+04,4.204e+03,3.323e+05
72.3,2.739e+05,2.098e+04,3.775e+03,2.987e+05
73.9,2.251e+05,1.395e+04,3.164e+03,2.422e+05
75.4,1.608e+05,6.554e+03,2.162e+03,1.695e+05
77.0,9.930e+04,2.641e+03,1.359e+03,1.033e+05
78.6,6.133e+04,1.783e+03,1.194e+03,6.431e+04
80.2,4.628e+04,1.497e+03,1.170e+03,4.894e+04
81.7,2.760e+04,9.229e+02,6.657e+02,2.918e+04
83.3,2.010e+04,6.301e+02,4.639e+02,2.120e+04
84.9,1.492e+04,4.841e+02,3.579e+02,1.576e+04
86.4,1.030e+04,3.610e+02,3.254e+02,1.098e+04
88.0,1.493e+04,2.590e+02,5.499e+02,1.574e+04
89.6,2.849e+04,2.337e+02,1.182e+03,2.991e+04
91.2,5.186e+04,2.687e+02,2.283e+03,5.441e+04
92.7,6.924e+04,3.362e+02,3.256e+03,7.283e+04
94.3,9.996e+04,4.885e+02,5.152e+03,1.056e+05
95.9,1.587e+05,8.876e+02,8.411e+03,1.680e+05
97.5,1.853e+05,1.074e+03,1.028e+04,1.966e+05
