freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.403e+01,8.699e+02,1.148e+02,1.029e+03
1.5,4.340e+01,4.957e+02,7.603e+01,6.151e+02
3.0,2.334e+01,2.432e+01,1.563e+01,6.329e+01
4.5,2.467e+01,3.227e+02,1.495e+01,3.623e+02
6.0,2.793e+01,1.115e+03,1.546e+01,1.159e+03
7.5,2.732e+01,1.807e+03,1.555e+01,1.850e+03
9.0,2.676e+01,2.831e+03,1.515e+01,2.873e+03
10.5,2.519e+01,4.189e+03,1.557e+01,4.230e+03
12.0,2.882e+01,5.798e+03,1.711e+01,5.844e+03
13.5,2.920e+01,7.683e+03,2.001e+01,7.733e+03
15.1,2.761e+01,9.706e+03,2.165e+01,9.755e+03
16.6,2.830e+01,1.182e+04,2.933e+01,1.188e+04
18.1,3.256e+01,1.454e+04,4.191e+01,1.461e+04
19.6,4.407e+01,1.886e+04,6.109e+01,1.896e+04
21.1,6.182e+01,2.478e+04,8.530e+01,2.492e+04
22.6,7.898e+01,3.264e+04,1.361e+02,3.286e+04
24.1,9.423e+01,4.329e+04,2.360e+02,4.362e+04
25.6,1.255e+02,5.587e+04,3.602e+02,5.636e+04
27.1,1.907e+02,7.362e+04,6.150e+02,7.443e+04
28.6,3.105e+02,1.014e+05,1.016e+03,1.028e+05
30.1,5.192e+02,1.430e+05,1.598e+03,1.452e+05
31.6,8.014e+02,2.027e+05,2.638e+03,2.061e+05
33.1,1.113e+03,2.998e+05,4.714e+03,3.056e+05
34.6,1.866e+03,5.121e+05,1.049e+04,5.244e+05
36.1,3.790e+03,1.207e+06,3.396e+04,1.245e+06
37.6,7.365e+03,2.605e+06,9.458e+04,2.707e+06
39.1,9.591e+03,2.832e+06,1.282e+05,2.969e+06
40.6,9.463e+03,2.109e+06,1.223e+05,2.240e+06
42.2,8.397e+03,1.358e+06,1.019e+05,1.468e+06
43.7,7.986e+03,8.648e+05,8.906e+04,9.619e+05
