freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.084e+01,7.421e+02,1.334e+02,8.863e+02
1.6,3.148e+01,4.229e+02,9.994e+01,5.543e+02
3.1,3.313e+01,4.074e+01,2.908e+01,1.030e+02
4.7,3.559e+01,4.012e+02,5.054e+01,4.874e+02
6.3,3.775e+01,1.111e+03,6.639e+01,1.215e+03
7.8,3.575e+01,1.839e+03,6.123e+01,1.936e+03
9.4,3.818e+01,2.762e+03,4.475e+01,2.845e+03
11.0,3.788e+01,3.894e+03,4.779e+01,3.980e+03
12.6,3.770e+01,5.525e+03,5.444e+01,5.618e+03
14.1,3.794e+01,7.565e+03,4.997e+01,7.653e+03
15.7,3.929e+01,1.002e+04,6.042e+01,1.012e+04
17.3,4.718e+01,1.346e+04,7.274e+01,1.358e+04
18.8,5.561e+01,1.802e+04,8.707e+01,1.816e+04
20.4,6.637e+01,2.398e+04,1.350e+02,2.418e+04
22.0,7.750e+01,3.214e+04,2.122e+02,3.243e+04
23.5,9.270e+01,4.354e+04,3.576e+02,4.399e+04
25.1,9.765e+01,5.446e+04,5.318e+02,5.509e+04
26.7,1.394e+02,6.707e+04,6.917e+02,6.790e+04
28.2,2.089e+02,8.632e+04,1.114e+03,8.764e+04
29.8,2.427e+02,1.262e+05,2.298e+03,1.287e+05
31.4,3.639e+02,2.146e+05,5.916e+03,2.209e+05
33.0,6.874e+02,3.800e+05,1.550e+04,3.962e+05
34.5,1.338e+03,7.548e+05,4.399e+04,8.001e+05
36.1,2.789e+03,1.797e+06,1.449e+05,1.945e+06
37.7,4.619e+03,2.787e+06,2.941e+05,3.085e+06
39.2,4.336e+03,2.377e+06,3.194e+05,2.701e+06
40.8,2.886e+03,1.477e+06,2.498e+05,1.730e+06
42.4,2.067e+03,8.910e+05,1.944e+05,1.087e+06
43.9,1.368e+03,5.734e+05,1.639e+05,7.387e+05
45.5,8.873e+02,3.694e+05,1.379e+05,5.082e+05
47.1,7.569e+02,2.481e+05,1.231e+05,3.720e+05
48.7,7.236e+02,1.795e+05,1.191e+05,2.993e+05
50.2,7.297e+02,1.270e+05,1.096e+05,2.373e+05
51.8,6.018e+02,8.170e+04,9.165e+04,1.740e+05
53.4,4.639e+02,5.923e+04,1.064e+05,1.661e+05
54.9,5.346e+02,5.130e+04,1.663e+05,2.182e+05
56.5,4.966e+02,3.680e+04,1.682e+05,2.055e+05
58.1,5.511e+02,2.380e+04,1.157e+05,1.400e+05
59.6,7.019e+02,2.093e+04,1.057e+05,1.273e+05
