freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.961e+01,2.658e+02,8.462e+00,3.439e+02
1.5,5.503e+01,1.653e+02,3.549e+01,2.559e+02
3.1,2.094e+01,3.193e+01,4.074e+01,9.362e+01
4.6,2.209e+01,3.111e+02,4.241e+01,3.756e+02
6.2,2.295e+01,1.003e+03,4.516e+01,1.071e+03
7.7,2.252e+01,1.795e+03,4.299e+01,1.861e+03
9.3,2.273e+01,2.723e+03,4.103e+01,2.787e+03
10.8,2.195e+01,3.801e+03,4.293e+01,3.865e+03
12.3,2.110e+01,5.133e+03,4.260e+01,5.196e+03
13.9,2.293e+01,6.708e+03,3.914e+01,6.771e+03
15.4,2.235e+01,8.947e+03,3.749e+01,9.006e+03
17.0,2.633e+01,1.192e+04,3.977e+01,1.198e+04
18.5,3.397e+01,1.583e+04,4.164e+01,1.590e+04
20.1,5.090e+01,2.075e+04,4.716e+01,2.084e+04
21.6,7.596e+01,2.682e+04,4.594e+01,2.694e+04
23.1,1.113e+02,3.546e+04,4.024e+01,3.561e+04
24.7,2.304e+02,4.786e+04,4.163e+01,4.814e+04
26.2,6.666e+02,6.883e+04,5.248e+01,6.954e+04
27.8,1.985e+03,1.064e+05,6.662e+01,1.085e+05
29.3,6.977e+03,1.833e+05,7.891e+01,1.904e+05
30.8,1.968e+04,2.880e+05,1.326e+02,3.078e+05
32.4,3.172e+04,3.071e+05,2.685e+02,3.391e+05
33.9,3.763e+04,2.680e+05,4.444e+02,3.061e+05
35.5,4.313e+04,2.277e+05,6.384e+02,2.714e+05
37.0,4.541e+04,1.674e+05,5.918e+02,2.134e+05
38.6,5.137e+04,1.158e+05,5.014e+02,1.677e+05
40.1,5.576e+04,7.270e+04,5.011e+02,1.290e+05
41.6,5.520e+04,4.075e+04,5.498e+02,9.650e+04
43.2,5.417e+04,2.422e+04,4.938e+02,7.888e+04
44.7,5.001e+04,1.626e+04,2.991e+02,6.657e+04
46.3,4.319e+04,1.296e+04,1.820e+02,5.633e+04
47.8,3.927e+04,1.231e+04,1.047e+02,5.169e+04
49.4,4.610e+04,1.809e+04,1.109e+02,6.430e+04
50.9,6.322e+04,3.428e+04,1.490e+02,9.765e+04
52.4,8.768e+04,6.517e+04,1.921e+02,1.530e+05
54.0,1.412e+05,1.315e+05,4.235e+02,2.731e+05
55.5,1.948e+05,2.092e+05,8.313e+02,4.048e+05
57.1,1.916e+05,2.293e+05,1.149e+03,4.220e+05
58.6,1.606e+05,2.062e+05,1.033e+03,3.679e+05
60.2,1.402e+05,1.851e+05,1.202e+03,3.265e+05
61.7,1.338e+05,1.759e+05,2.325e+03,3.120e+05
63.2,1.213e+05,1.577e+05,4.112e+03,2.832e+05
64.8,8.901e+04,1.226e+05,5.294e+03,2.169e+05
66.3,6.260e+04,9.520e+04,5.902e+03,1.637e+05
67.9,5.256e+04,8.268e+04,3.680e+03,1.389e+05
69.4,4.508e+04,7.430e+04,1.737e+03,1.211e+05
70.9,3.622e+04,6.284e+04,7.845e+02,9.984e+04
72.5,2.679e+04,4.960e+04,5.499e+02,7.694e+04
74.0,1.820e+04,4.146e+04,6.439e+02,6.030e+04
75.6,1.370e+04,3.935e+04,8.373e+02,5.389e+04
77.1,1.332e+04,3.715e+04,9.258e+02,5.140e+04
78.7,1.178e+04,3.030e+04,1.421e+03,4.350e+04
80.2,1.073e+04,2.655e+04,1.135e+03,3.841e+04
81.7,1.228e+04,2.867e+04,6.389e+02,4.158e+04
83.3,1.238e+04,2.845e+04,3.407e+02,4.117e+04
84.8,1.028e+04,2.547e+04,2.623e+02,3.601e+04
86.4,9.049e+03,2.751e+04,3.308e+02,3.689e+04
87.9,8.156e+03,3.534e+04,4.545e+02,4.396e+04
89.5,4.901e+03,4.213e+04,4.948e+02,4.753e+04
91.0,2.177e+03,4.742e+04,6.430e+02,5.024e+04
92.5,9.603e+02,5.436e+04,8.883e+02,5.621e+04
94.1,3.472e+02,5.856e+04,1.170e+03,6.007e+04
95.6,2.307e+02,5.944e+04,1.811e+03,6.148e+04
97.2,8.088e+02,6.257e+04,3.469e+03,6.685e+04
