freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.912e+02,9.486e+00,8.476e+00,3.092e+02
1.5,1.797e+02,1.990e+01,2.493e+01,2.245e+02
3.0,3.305e+01,2.064e+01,2.882e+01,8.252e+01
4.5,2.706e+02,2.345e+01,3.010e+01,3.242e+02
6.0,1.083e+03,2.475e+01,2.553e+01,1.133e+03
7.6,1.707e+03,1.977e+01,2.962e+01,1.756e+03
9.1,2.366e+03,1.836e+01,2.711e+01,2.412e+03
10.6,3.218e+03,1.947e+01,2.768e+01,3.265e+03
12.1,4.114e+03,2.177e+01,3.243e+01,4.168e+03
13.6,5.106e+03,2.306e+01,3.446e+01,5.164e+03
15.1,6.543e+03,2.579e+01,3.079e+01,6.600e+03
16.6,8.851e+03,2.540e+01,3.095e+01,8.907e+03
18.1,1.169e+04,2.224e+01,3.040e+01,1.175e+04
19.6,1.415e+04,2.183e+01,3.715e+01,1.421e+04
21.1,1.651e+04,2.236e+01,4.209e+01,1.658e+04
22.7,1.941e+04,3.122e+01,4.443e+01,1.949e+04
24.2,2.294e+04,5.543e+01,4.537e+01,2.304e+04
25.7,2.675e+04,8.661e+01,5.589e+01,2.690e+04
27.2,3.088e+04,1.123e+02,6.237e+01,3.105e+04
28.7,3.531e+04,1.585e+02,7.466e+01,3.555e+04
30.2,3.865e+04,2.522e+02,7.733e+01,3.898e+04
31.7,4.255e+04,4.541e+02,8.478e+01,4.309e+04
33.2,4.848e+04,8.524e+02,1.338e+02,4.947e+04
34.7,5.739e+04,1.574e+03,2.609e+02,5.923e+04
36.3,6.703e+04,3.023e+03,5.232e+02,7.057e+04
37.8,7.898e+04,7.281e+03,1.138e+03,8.740e+04
39.3,8.925e+04,1.652e+04,2.369e+03,1.081e+05
40.8,1.180e+05,1.633e+04,2.363e+03,1.367e+05
42.3,1.694e+05,9.752e+03,1.585e+03,1.807e+05
43.8,2.251e+05,5.703e+03,1.385e+03,2.322e+05
45.3,3.144e+05,3.928e+03,1.526e+03,3.199e+05
46.8,4.471e+05,3.288e+03,1.465e+03,4.519e+05
48.3,4.975e+05,2.810e+03,1.214e+03,5.015e+05
49.8,4.532e+05,2.781e+03,1.052e+03,4.571e+05
51.4,5.682e+05,2.856e+03,1.330e+03,5.724e+05
52.9,8.244e+05,2.642e+03,2.975e+03,8.300e+05
54.4,9.231e+05,2.151e+03,7.800e+03,9.331e+05
55.9,7.892e+05,1.711e+03,1.043e+04,8.014e+05
57.4,5.665e+05,1.376e+03,9.295e+03,5.772e+05
58.9,3.861e+05,1.262e+03,8.241e+03,3.956e+05
60.4,2.893e+05,1.220e+03,7.462e+03,2.980e+05
61.9,2.424e+05,1.375e+03,7.943e+03,2.518e+05
