freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.090e+02,1.760e+01,5.391e+00,4.320e+02
1.6,2.483e+02,2.675e+01,1.823e+01,2.933e+02
3.1,4.645e+01,2.557e+01,1.976e+01,9.178e+01
4.7,3.895e+02,5.593e+01,2.017e+01,4.656e+02
6.3,1.157e+03,7.205e+01,1.970e+01,1.249e+03
7.8,1.803e+03,2.565e+01,1.973e+01,1.849e+03
9.4,2.641e+03,2.034e+01,2.053e+01,2.682e+03
11.0,3.523e+03,2.283e+01,2.022e+01,3.566e+03
12.6,4.441e+03,2.341e+01,2.036e+01,4.484e+03
14.1,5.627e+03,2.542e+01,2.033e+01,5.673e+03
15.7,7.206e+03,2.424e+01,2.023e+01,7.250e+03
17.3,9.421e+03,2.448e+01,2.208e+01,9.468e+03
18.8,1.291e+04,2.972e+01,2.068e+01,1.296e+04
20.4,1.621e+04,3.411e+01,2.289e+01,1.627e+04
22.0,1.809e+04,3.944e+01,2.690e+01,1.816e+04
23.5,1.994e+04,5.079e+01,2.414e+01,2.002e+04
25.1,2.264e+04,5.953e+01,2.151e+01,2.272e+04
26.7,2.643e+04,6.303e+01,1.982e+01,2.651e+04
28.3,2.796e+04,5.826e+01,2.019e+01,2.803e+04
29.8,3.163e+04,6.565e+01,2.119e+01,3.172e+04
31.4,3.873e+04,7.516e+01,2.244e+01,3.883e+04
33.0,4.501e+04,7.597e+01,2.414e+01,4.511e+04
34.5,5.234e+04,7.328e+01,3.405e+01,5.245e+04
36.1,6.394e+04,8.474e+01,5.462e+01,6.408e+04
37.7,7.604e+04,6.737e+01,1.151e+02,7.622e+04
39.2,8.776e+04,5.318e+01,2.284e+02,8.805e+04
40.8,1.061e+05,8.651e+01,3.336e+02,1.065e+05
42.4,1.380e+05,2.619e+02,3.587e+02,1.386e+05
44.0,1.770e+05,7.639e+02,3.264e+02,1.781e+05
45.5,2.127e+05,1.599e+03,1.918e+02,2.144e+05
47.1,2.383e+05,2.340e+03,1.439e+02,2.408e+05
48.7,2.792e+05,1.786e+03,5.524e+02,2.815e+05
50.2,3.710e+05,1.202e+03,1.366e+03,3.736e+05
51.8,5.141e+05,1.768e+03,1.582e+03,5.175e+05
53.4,7.733e+05,3.642e+03,1.738e+03,7.786e+05
54.9,1.339e+06,1.296e+04,2.076e+03,1.354e+06
56.5,1.853e+06,2.402e+04,2.591e+03,1.879e+06
58.1,1.842e+06,2.630e+04,2.804e+03,1.871e+06
59.7,1.547e+06,2.233e+04,3.104e+03,1.573e+06
61.2,1.194e+06,1.533e+04,2.486e+03,1.212e+06
62.8,8.722e+05,1.004e+04,1.366e+03,8.836e+05
64.4,6.302e+05,7.502e+03,6.830e+02,6.384e+05
65.9,4.699e+05,5.822e+03,4.500e+02,4.761e+05
67.5,3.655e+05,4.831e+03,4.687e+02,3.708e+05
69.1,2.995e+05,4.943e+03,5.718e+02,3.050e+05
70.6,2.540e+05,4.739e+03,6.036e+02,2.594e+05
72.2,1.900e+05,3.689e+03,5.020e+02,1.942e+05
73.8,1.255e+05,2.914e+03,6.078e+02,1.290e+05
75.4,7.934e+04,2.556e+03,8.012e+02,8.270e+04
76.9,4.782e+04,2.067e+03,8.067e+02,5.069e+04
78.5,2.717e+04,1.208e+03,6.157e+02,2.899e+04
80.1,1.722e+04,7.280e+02,5.914e+02,1.854e+04
81.6,1.561e+04,5.985e+02,6.216e+02,1.683e+04
83.2,1.541e+04,8.594e+02,6.383e+02,1.690e+04
84.8,1.731e+04,1.205e+03,5.662e+02,1.908e+04
86.3,2.384e+04,1.672e+03,3.838e+02,2.589e+04
87.9,4.140e+04,3.349e+03,4.258e+02,4.518e+04
89.5,6.429e+04,6.637e+03,8.075e+02,7.173e+04
91.1,9.935e+04,1.248e+04,1.696e+03,1.135e+05
92.6,1.560e+05,2.172e+04,3.026e+03,1.807e+05
94.2,2.009e+05,3.012e+04,4.110e+03,2.352e+05
95.8,2.279e+05,3.856e+04,5.242e+03,2.717e+05
97.3,2.762e+05,5.527e+04,6.628e+03,3.381e+05
98.9,2.721e+05,6.059e+04,6.672e+03,3.394e+05
