freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.559e+00,8.497e+02,1.796e+02,1.039e+03
1.6,2.950e+01,4.925e+02,1.528e+02,6.748e+02
3.1,3.711e+01,4.798e+01,1.252e+02,2.103e+02
4.7,4.374e+01,3.930e+02,9.306e+01,5.298e+02
6.3,4.750e+01,1.122e+03,7.827e+01,1.248e+03
7.8,4.403e+01,1.882e+03,1.077e+02,2.034e+03
9.4,4.497e+01,2.800e+03,8.710e+01,2.932e+03
11.0,4.140e+01,3.947e+03,5.954e+01,4.048e+03
12.6,4.132e+01,5.645e+03,6.773e+01,5.754e+03
14.1,4.313e+01,7.707e+03,1.108e+02,7.861e+03
15.7,4.193e+01,1.022e+04,7.955e+01,1.034e+04
17.3,4.396e+01,1.389e+04,1.053e+02,1.404e+04
18.8,4.939e+01,1.876e+04,1.275e+02,1.894e+04
20.4,6.140e+01,2.522e+04,1.670e+02,2.545e+04
22.0,7.564e+01,3.422e+04,2.110e+02,3.451e+04
23.5,7.487e+01,4.593e+04,3.592e+02,4.637e+04
25.1,7.378e+01,5.705e+04,4.629e+02,5.759e+04
26.7,7.263e+01,7.665e+04,7.418e+02,7.747e+04
28.3,8.826e+01,1.084e+05,1.411e+03,1.099e+05
29.8,1.063e+02,1.681e+05,2.983e+03,1.712e+05
31.4,1.005e+02,2.990e+05,7.967e+03,3.071e+05
33.0,9.667e+01,5.669e+05,2.238e+04,5.893e+05
34.5,7.743e+01,1.274e+06,7.281e+04,1.347e+06
36.1,1.812e+02,2.433e+06,1.910e+05,2.625e+06
37.7,3.602e+02,2.686e+06,2.817e+05,2.968e+06
39.2,3.779e+02,2.061e+06,2.807e+05,2.342e+06
40.8,3.637e+02,1.331e+06,2.343e+05,1.565e+06
42.4,3.128e+02,8.543e+05,1.988e+05,1.053e+06
44.0,4.154e+02,5.947e+05,1.864e+05,7.815e+05
45.5,4.909e+02,4.172e+05,1.756e+05,5.933e+05
47.1,6.501e+02,2.805e+05,1.540e+05,4.351e+05
48.7,9.080e+02,2.063e+05,1.634e+05,3.706e+05
50.2,7.786e+02,1.853e+05,2.601e+05,4.462e+05
51.8,5.269e+02,1.568e+05,3.783e+05,5.356e+05
