freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.061e+00,1.777e+01,6.420e+01,9.103e+01
1.5,1.434e+01,2.206e+01,5.321e+01,8.961e+01
3.1,1.170e+01,1.615e+01,3.106e+01,5.891e+01
4.6,1.202e+01,3.817e+01,2.854e+02,3.356e+02
6.1,1.129e+01,4.733e+01,9.425e+02,1.001e+03
7.7,1.182e+01,1.669e+01,1.355e+03,1.384e+03
9.2,1.345e+01,1.373e+01,1.801e+03,1.828e+03
10.7,1.349e+01,1.474e+01,2.254e+03,2.282e+03
12.2,1.439e+01,1.518e+01,2.667e+03,2.697e+03
13.8,1.343e+01,1.598e+01,3.024e+03,3.053e+03
15.3,1.511e+01,1.650e+01,3.150e+03,3.181e+03
16.8,1.642e+01,1.731e+01,3.207e+03,3.241e+03
18.4,2.021e+01,1.897e+01,3.606e+03,3.646e+03
19.9,2.528e+01,2.442e+01,4.468e+03,4.518e+03
21.4,2.293e+01,2.991e+01,5.549e+03,5.601e+03
23.0,2.232e+01,3.954e+01,6.062e+03,6.123e+03
24.5,1.958e+01,4.995e+01,6.536e+03,6.605e+03
26.0,2.017e+01,5.996e+01,7.122e+03,7.202e+03
27.5,1.882e+01,6.634e+01,7.902e+03,7.987e+03
29.1,1.834e+01,1.119e+02,1.087e+04,1.100e+04
30.6,1.640e+01,1.688e+02,1.438e+04,1.456e+04
32.1,1.641e+01,2.195e+02,1.514e+04,1.537e+04
33.7,1.961e+01,2.683e+02,1.520e+04,1.549e+04
35.2,2.523e+01,2.749e+02,1.752e+04,1.782e+04
36.7,2.968e+01,3.643e+02,2.114e+04,2.153e+04
38.3,3.749e+01,5.723e+02,2.393e+04,2.454e+04
39.8,5.999e+01,8.384e+02,2.632e+04,2.721e+04
41.3,9.624e+01,7.618e+02,2.667e+04,2.753e+04
42.9,1.629e+02,6.548e+02,2.888e+04,2.970e+04
44.4,3.698e+02,7.761e+02,3.323e+04,3.437e+04
45.9,1.242e+03,7.107e+02,3.651e+04,3.846e+04
47.4,3.404e+03,4.557e+02,3.672e+04,4.058e+04
49.0,5.456e+03,5.180e+02,3.774e+04,4.371e+04
50.5,6.151e+03,1.008e+03,3.932e+04,4.648e+04
52.0,5.747e+03,1.532e+03,3.692e+04,4.420e+04
53.6,5.152e+03,2.037e+03,3.422e+04,4.141e+04
55.1,5.583e+03,3.076e+03,4.348e+04,5.214e+04
56.6,7.491e+03,4.578e+03,5.625e+04,6.832e+04
58.2,1.036e+04,6.266e+03,7.274e+04,8.937e+04
59.7,1.255e+04,7.602e+03,9.255e+04,1.127e+05
61.2,1.059e+04,6.438e+03,9.993e+04,1.170e+05
62.7,8.318e+03,5.167e+03,1.031e+05,1.166e+05
64.3,5.899e+03,4.303e+03,1.007e+05,1.109e+05
65.8,3.597e+03,3.525e+03,9.180e+04,9.892e+04
67.3,2.102e+03,2.947e+03,7.805e+04,8.310e+04
68.9,1.202e+03,2.243e+03,6.038e+04,6.382e+04
70.4,7.286e+02,1.249e+03,3.832e+04,4.030e+04
71.9,4.993e+02,5.219e+02,1.935e+04,2.037e+04
73.5,4.230e+02,2.719e+02,9.772e+03,1.047e+04
75.0,4.032e+02,2.951e+02,6.210e+03,6.908e+03
76.5,4.324e+02,4.366e+02,4.269e+03,5.138e+03
78.1,4.074e+02,8.030e+02,3.332e+03,4.542e+03
79.6,5.574e+02,1.660e+03,4.316e+03,6.534e+03
81.1,9.323e+02,2.822e+03,6.198e+03,9.953e+03
82.6,1.368e+03,4.175e+03,8.329e+03,1.387e+04
84.2,2.133e+03,6.278e+03,1.115e+04,1.956e+04
85.7,3.343e+03,1.003e+04,1.590e+04,2.928e+04
87.2,4.393e+03,1.561e+04,2.308e+04,4.308e+04
88.8,5.360e+03,2.306e+04,3.082e+04,5.924e+04
90.3,6.609e+03,3.215e+04,3.829e+04,7.705e+04
91.8,7.856e+03,4.154e+04,4.462e+04,9.402e+04
93.4,8.146e+03,4.822e+04,4.578e+04,1.021e+05
94.9,7.666e+03,5.219e+04,4.234e+04,1.022e+05
96.4,7.382e+03,5.717e+04,3.850e+04,1.031e+05
97.9,6.773e+03,6.477e+04,3.328e+04,1.048e+05
99.5,5.446e+03,6.484e+04,2.514e+04,9.543e+04
101.0,4.088e+03,5.550e+04,1.741e+04,7.700e+04
102.5,3.537e+03,4.442e+04,1.169e+04,5.965e+04
104.1,3.808e+03,3.797e+04,9.942e+03,5.172e+04
105.6,5.139e+03,3.384e+04,1.236e+04,5.134e+04
107.1,7.985e+03,4.371e+04,1.731e+04,6.901e+04
108.7,1.268e+04,7.573e+04,2.477e+04,1.132e+05
110.2,1.609e+04,9.923e+04,2.535e+04,1.407e+05
111.7,1.685e+04,1.057e+05,2.002e+04,1.425e+05
113.3,1.567e+04,1.026e+05,1.340e+04,1.316e+05
114.8,1.513e+04,1.071e+05,9.126e+03,1.313e+05
116.3,1.494e+04,1.176e+05,7.486e+03,1.400e+05
117.8,1.322e+04,1.160e+05,6.505e+03,1.358e+05
119.4,1.106e+04,1.036e+05,5.548e+03,1.202e+05
120.9,9.111e+03,8.292e+04,4.928e+03,9.695e+04
122.4,8.217e+03,6.787e+04,4.852e+03,8.094e+04
124.0,7.143e+03,6.030e+04,4.480e+03,7.192e+04
125.5,5.746e+03,5.031e+04,3.756e+03,5.981e+04
127.0,5.918e+03,4.753e+04,4.226e+03,5.767e+04
128.6,6.563e+03,4.779e+04,5.454e+03,5.981e+04
130.1,8.404e+03,4.762e+04,7.568e+03,6.359e+04
131.6,1.220e+04,4.101e+04,1.184e+04,6.504e+04
133.1,9.999e+03,2.073e+04,9.686e+03,4.041e+04
134.7,5.549e+03,4.563e+03,5.207e+03,1.532e+04
136.2,5.588e+03,2.750e+03,5.211e+03,1.355e+04
137.7,6.042e+03,2.464e+03,5.683e+03,1.419e+04
139.3,6.094e+03,2.278e+03,5.870e+03,1.424e+04
140.8,5.740e+03,1.973e+03,5.918e+03,1.363e+04
142.3,5.624e+03,1.477e+03,6.067e+03,1.317e+04
143.9,6.595e+03,1.565e+03,7.236e+03,1.540e+04
145.4,7.733e+03,1.866e+03,8.835e+03,1.844e+04
146.9,8.025e+03,2.001e+03,9.568e+03,1.960e+04
148.5,8.099e+03,2.168e+03,9.946e+03,2.021e+04
150.0,7.818e+03,2.153e+03,1.002e+04,1.999e+04
151.5,7.498e+03,2.011e+03,1.001e+04,1.952e+04
153.0,7.403e+03,1.895e+03,1.027e+04,1.957e+04
154.6,7.920e+03,1.933e+03,1.123e+04,2.108e+04
156.1,9.137e+03,2.276e+03,1.308e+04,2.449e+04
157.6,1.145e+04,2.975e+03,1.654e+04,3.097e+04
159.2,1.373e+04,3.690e+03,1.993e+04,3.735e+04
160.7,1.571e+04,4.278e+03,2.314e+04,4.313e+04
162.2,1.630e+04,4.549e+03,2.481e+04,4.567e+04
163.8,1.675e+04,4.648e+03,2.642e+04,4.782e+04
165.3,1.747e+04,4.765e+03,2.839e+04,5.062e+04
166.8,1.771e+04,4.926e+03,2.961e+04,5.225e+04
168.4,1.716e+04,4.914e+03,2.941e+04,5.148e+04
169.9,1.828e+04,5.167e+03,3.191e+04,5.535e+04
171.4,1.985e+04,5.254e+03,3.552e+04,6.063e+04
172.9,2.126e+04,5.091e+03,3.879e+04,6.514e+04
174.5,2.212e+04,5.064e+03,4.112e+04,6.831e+04
176.0,2.112e+04,4.676e+03,3.991e+04,6.571e+04
177.5,1.837e+04,4.024e+03,3.512e+04,5.752e+04
179.1,1.557e+04,3.681e+03,2.963e+04,4.889e+04
180.6,1.390e+04,4.509e+03,2.644e+04,4.486e+04
182.1,1.433e+04,6.226e+03,2.753e+04,4.809e+04
183.7,1.581e+04,7.737e+03,3.108e+04,5.463e+04
185.2,1.571e+04,8.501e+03,3.148e+04,5.570e+04
186.7,1.588e+04,9.142e+03,3.248e+04,5.750e+04
188.2,1.659e+04,9.724e+03,3.511e+04,6.142e+04
189.8,1.653e+04,9.892e+03,3.621e+04,6.263e+04
191.3,1.728e+04,9.954e+03,3.912e+04,6.635e+04
192.8,1.822e+04,9.793e+03,4.244e+04,7.045e+04
194.4,1.998e+04,9.810e+03,4.744e+04,7.722e+04
195.9,2.151e+04,9.869e+03,5.131e+04,8.269e+04
197.4,2.238e+04,9.670e+03,5.331e+04,8.536e+04
199.0,2.283e+04,9.323e+03,5.409e+04,8.624e+04
