freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.587e+02,1.599e+01,3.359e+01,5.082e+02
1.6,2.859e+02,3.011e+01,7.798e+01,3.939e+02
3.1,5.312e+01,3.792e+01,7.928e+01,1.703e+02
4.7,3.902e+02,1.482e+02,8.195e+01,6.204e+02
6.3,1.210e+03,1.837e+02,7.459e+01,1.468e+03
7.8,1.877e+03,3.487e+01,7.125e+01,1.983e+03
9.4,2.678e+03,2.066e+01,6.683e+01,2.766e+03
11.0,3.552e+03,2.062e+01,7.245e+01,3.645e+03
12.6,4.555e+03,2.124e+01,7.360e+01,4.650e+03
14.1,6.065e+03,2.172e+01,8.326e+01,6.170e+03
15.7,8.215e+03,2.293e+01,9.807e+01,8.336e+03
17.3,1.130e+04,2.549e+01,9.265e+01,1.142e+04
18.8,1.514e+04,2.621e+01,9.442e+01,1.526e+04
20.4,1.860e+04,3.220e+01,1.039e+02,1.874e+04
22.0,2.234e+04,5.000e+01,1.093e+02,2.250e+04
23.5,2.657e+04,1.061e+02,1.037e+02,2.678e+04
25.1,3.164e+04,2.019e+02,1.064e+02,3.195e+04
26.7,3.640e+04,3.185e+02,1.163e+02,3.684e+04
28.3,3.930e+04,4.799e+02,1.184e+02,3.990e+04
29.8,4.600e+04,6.987e+02,1.079e+02,4.681e+04
31.4,5.673e+04,9.720e+02,1.141e+02,5.782e+04
33.0,6.568e+04,1.459e+03,1.552e+02,6.730e+04
34.5,7.700e+04,2.347e+03,2.335e+02,7.958e+04
36.1,9.034e+04,2.822e+03,3.615e+02,9.353e+04
37.7,1.065e+05,2.757e+03,5.416e+02,1.098e+05
39.2,1.205e+05,2.636e+03,6.887e+02,1.239e+05
40.8,1.472e+05,2.713e+03,8.586e+02,1.508e+05
42.4,1.951e+05,2.969e+03,1.072e+03,1.991e+05
44.0,2.543e+05,3.106e+03,1.265e+03,2.587e+05
45.5,3.479e+05,3.284e+03,1.458e+03,3.527e+05
47.1,4.543e+05,3.979e+03,1.842e+03,4.602e+05
48.7,4.957e+05,4.382e+03,3.099e+03,5.032e+05
50.2,5.515e+05,4.055e+03,5.019e+03,5.606e+05
51.8,8.644e+05,4.771e+03,9.012e+03,8.782e+05
53.4,1.399e+06,6.084e+03,2.000e+04,1.425e+06
54.9,1.674e+06,7.477e+03,4.669e+04,1.729e+06
56.5,1.512e+06,6.985e+03,7.618e+04,1.595e+06
58.1,1.187e+06,6.808e+03,7.827e+04,1.272e+06
59.6,8.810e+05,8.012e+03,5.999e+04,9.490e+05
61.2,6.614e+05,8.654e+03,4.387e+04,7.139e+05
62.8,5.139e+05,9.384e+03,3.341e+04,5.567e+05
64.4,4.179e+05,1.186e+04,2.627e+04,4.560e+05
65.9,3.569e+05,1.600e+04,2.084e+04,3.937e+05
67.5,3.170e+05,2.210e+04,1.605e+04,3.552e+05
69.1,2.836e+05,2.797e+04,1.182e+04,3.234e+05
70.6,2.480e+05,3.068e+04,8.990e+03,2.877e+05
72.2,1.979e+05,2.612e+04,7.801e+03,2.318e+05
73.8,1.419e+05,1.803e+04,6.711e+03,1.666e+05
75.3,9.356e+04,1.183e+04,5.416e+03,1.108e+05
76.9,6.738e+04,8.031e+03,5.015e+03,8.043e+04
78.5,5.454e+04,7.264e+03,4.593e+03,6.640e+04
80.1,4.631e+04,6.552e+03,3.941e+03,5.680e+04
81.6,3.160e+04,4.570e+03,2.849e+03,3.901e+04
83.2,1.932e+04,2.717e+03,2.045e+03,2.408e+04
84.8,1.245e+04,1.734e+03,1.600e+03,1.578e+04
86.3,1.141e+04,1.416e+03,1.675e+03,1.451e+04
87.9,2.035e+04,1.575e+03,3.000e+03,2.492e+04
89.5,4.119e+04,1.915e+03,6.303e+03,4.941e+04
91.0,7.268e+04,2.220e+03,1.177e+04,8.667e+04
92.6,1.112e+05,2.342e+03,1.898e+04,1.326e+05
94.2,1.212e+05,2.170e+03,2.222e+04,1.455e+05
