freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.409e+02,8.392e+00,1.245e+01,3.618e+02
1.6,2.199e+02,2.730e+01,5.004e+01,2.973e+02
3.1,5.182e+01,3.034e+01,5.864e+01,1.408e+02
4.7,3.935e+02,4.360e+01,4.917e+01,4.862e+02
6.3,1.153e+03,5.046e+01,5.549e+01,1.259e+03
7.9,1.767e+03,3.261e+01,5.781e+01,1.857e+03
9.4,2.517e+03,2.812e+01,4.877e+01,2.594e+03
11.0,3.321e+03,3.324e+01,4.934e+01,3.403e+03
12.6,4.165e+03,4.166e+01,5.464e+01,4.261e+03
14.1,5.287e+03,4.249e+01,4.790e+01,5.378e+03
15.7,6.797e+03,4.218e+01,5.039e+01,6.889e+03
17.3,8.855e+03,4.280e+01,5.355e+01,8.951e+03
18.8,1.235e+04,4.866e+01,5.955e+01,1.246e+04
20.4,1.597e+04,5.495e+01,5.759e+01,1.608e+04
22.0,1.848e+04,6.082e+01,5.614e+01,1.860e+04
23.6,2.066e+04,6.732e+01,5.649e+01,2.078e+04
25.1,2.287e+04,7.513e+01,5.573e+01,2.300e+04
26.7,2.455e+04,8.752e+01,6.294e+01,2.470e+04
28.3,2.468e+04,7.041e+01,5.773e+01,2.481e+04
29.8,2.757e+04,6.804e+01,5.792e+01,2.770e+04
31.4,3.508e+04,7.878e+01,6.394e+01,3.522e+04
33.0,4.146e+04,7.807e+01,6.094e+01,4.160e+04
34.5,4.529e+04,8.615e+01,6.826e+01,4.544e+04
36.1,5.025e+04,1.058e+02,1.232e+02,5.048e+04
37.7,5.774e+04,2.344e+02,2.104e+02,5.818e+04
39.3,6.113e+04,5.426e+02,3.173e+02,6.199e+04
40.8,6.759e+04,1.079e+03,4.721e+02,6.914e+04
42.4,7.911e+04,1.750e+03,5.509e+02,8.141e+04
44.0,8.829e+04,2.163e+03,4.409e+02,9.089e+04
45.5,1.054e+05,2.522e+03,2.720e+02,1.082e+05
47.1,1.244e+05,2.627e+03,3.975e+02,1.274e+05
48.7,1.255e+05,1.707e+03,7.240e+02,1.279e+05
50.2,1.214e+05,8.468e+02,1.011e+03,1.232e+05
51.8,1.718e+05,5.547e+02,1.660e+03,1.740e+05
53.4,3.139e+05,5.005e+02,2.598e+03,3.170e+05
55.0,6.329e+05,9.843e+02,4.310e+03,6.382e+05
56.5,1.132e+06,2.620e+03,9.214e+03,1.144e+06
58.1,1.519e+06,5.280e+03,1.720e+04,1.541e+06
59.7,1.573e+06,6.500e+03,2.319e+04,1.603e+06
61.2,1.384e+06,4.223e+03,1.490e+04,1.403e+06
62.8,1.105e+06,2.124e+03,5.378e+03,1.113e+06
64.4,8.110e+05,2.187e+03,2.917e+03,8.161e+05
65.9,5.848e+05,2.292e+03,2.568e+03,5.897e+05
67.5,4.454e+05,2.763e+03,2.535e+03,4.507e+05
69.1,3.708e+05,3.275e+03,2.630e+03,3.767e+05
70.7,3.389e+05,3.110e+03,2.875e+03,3.449e+05
72.2,3.102e+05,2.706e+03,3.330e+03,3.163e+05
