freq,psd_x,psd_y,psd_z,psd_xyz
169.6,2.472e+04,8.902e+03,1.238e+04,4.600e+04
171.1,2.556e+04,9.677e+03,1.343e+04,4.866e+04
172.7,2.672e+04,1.071e+04,1.461e+04,5.203e+04
174.3,2.833e+04,1.220e+04,1.670e+04,5.724e+04
175.9,2.823e+04,1.325e+04,1.794e+04,5.942e+04
177.4,2.667e+04,1.383e+04,1.804e+04,5.855e+04
179.0,2.488e+04,1.412e+04,1.776e+04,5.677e+04
180.6,2.279e+04,1.404e+04,1.721e+04,5.405e+04
182.1,2.089e+04,1.390e+04,1.658e+04,5.137e+04
183.7,1.896e+04,1.349e+04,1.576e+04,4.822e+04
185.3,1.710e+04,1.289e+04,1.471e+04,4.470e+04
186.8,1.548e+04,1.244e+04,1.368e+04,4.160e+04
188.4,1.404e+04,1.167e+04,1.254e+04,3.825e+04
190.0,1.278e+04,1.068e+04,1.132e+04,3.478e+04
191.6,1.200e+04,1.015e+04,1.058e+04,3.273e+04
193.1,1.203e+04,1.016e+04,1.066e+04,3.285e+04
194.7,1.218e+04,1.005e+04,1.053e+04,3.276e+04
196.3,1.188e+04,9.353e+03,9.857e+03,3.109e+04
197.8,1.166e+04,8.654e+03,9.146e+03,2.946e+04
199.4,1.094e+04,7.936e+03,8.317e+03,2.719e+04
